date,amount,category,description
05-01-2024,1200.0,Income,Freelance project
12-01-2024,150.0,Expense,Grocery shopping
20-02-2024,200.0,Expense,Restaurant
25-02-2024,950.0,Income,Consulting work
10-03-2024,90.0,Expense,Transport
15-03-2024,400.0,Income,Part-time tutoring
01-04-2024,250.0,Expense,Electricity bill
10-04-2024,300.0,Income,Bonus
05-05-2024,75.0,Expense,Snacks
10-05-2024,200.0,Income,Gift from family
15-06-2024,60.0,Expense,Coffee
20-06-2024,110.0,Income,Reimbursement
30-06-2024,320.0,Expense,Shopping
02-07-2024,1500.0,Income,Salary
10-07-2024,800.0,Expense,Rent
15-07-2024,60.0,Expense,Streaming subscription
05-08-2024,180.0,Income,Interest
10-08-2024,300.0,Expense,Car service
17-09-2024,450.0,Income,Side hustle
25-09-2024,120.0,Expense,Books
05-10-2024,85.0,Expense,Internet bill
12-10-2024,650.0,Income,Freelancing
20-11-2024,90.0,Expense,Movie night
28-11-2024,720.0,Income,Bonus
03-12-2024,95.0,Expense,Dining out
15-12-2024,350.0,Income,Tutoring
25-06-2025,300.0,Expense,PS 5
01-01-2024,70.0,Income,Pocket Money
